"Author","year","doi","title","journal","url","keywords","open data (yes, no)","open code (yes, no)","open material (yes, no)","preregistration yes/no","longitudinal design (LD), cross-sectional design (CD), unclear","n_with_exclusions","n_female_total","age_mean_total","age_sd_total","mental health disorder exclusion (yes, no, unclear, not reported, only control group, partially)","Was an individual level analysis conducted in the study? group/ individual level analysis, both","If an individual level analysis was conducted in the study, what was the variable of interest? (e.g. sex/ gender, STAI, IUS, BDI, multiple)","Was the normal distribution checked? answers: dependent variable, independent variable, residuals, mixed, not reported","If yes, how? (e.g., specific test or visually), if no: NA","If yes, was the normal distribution tested before or after transformation procedure? answers: before, after, both, not reported. if no: NA","Was the homoscedasticity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...24","Was the sphericity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...26","Was the independence of residuals checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...28","Was the linearity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...30","Was the multicollinearity checked? answers: yes, not reported","If yes, how?   (e.g., specific test or visually), if no: NA","outlier removal reported? yes, no (this refers to quantitative measures such as +/-3SD and not qualitative ones (artifacts, zero responses)","outlier refer to: subjects, trials, both, NA, not reported","outlier criterion (e.g., +/- 2SD; this refers to quantitative measures such as +/-2SD and not qualitative ones (artifacts, zero responses)","HR (BPM)","HRV","EMG orbicularis oculi","EMG startle","SCR","SCL","EYE tracking","PUPIL SIZE","specification of data transformation method (e.g. range correction formula), not reported (if there are multiple different specifications for multiple outcome measures, extract them all)","is there a rationale for specific data transformation procedure (e.g. guideline)? yes/ no","which rationale? (e.g. guideline/ ref/ not reported)","was the transformation applied (AND EXPLICITELY STATED IN THE METHODS SECTION) on trial level or on an average-level (across trials)/ other/ or not reported (if this is done differently for various outcome measures, indicate it)","Stastistical model: within, between or mixed design? (e.g., paired t-test = within, independent t-test = between)","If within or mixed: how many within factor levels (of largest within factor)? (e.g., two different CS stimuli = two within factors)","Main statistical test: t-test, AN(C)OVA, correlation, regression, mixed model, other (ask Perplexity.ai with copy pasting info from the method section)","Main statistical test: further specification (e.g., non-parametric test), if ANCOVA: centered covariate?, if mixed model: paste formula here, of other: name of test (e.g. chi-squared, MANOVA)","reviewer_ID","comment","...54","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53"
"Scheveneels S and Boddez Y and Bennett MP and Hermans D","2017","10.1016/j.jbtep.2017.03.002","One for all: The effect of extinction stimulus typicality on return of fear.","Journal of behavior therapy and experimental psychiatry","https://pubmed.ncbi.nlm.nih.gov/28329711/","Female;Humans;Male;Adolescent;Fear;Adult;Young Adult;Galvanic Skin Response/physiology;Fear/*psychology;Extinction, Psychological/*physiology;*Conditioning, Classical;*Generalization, Psychological;Implosive Therapy/*methods","no","no","no","no","CD","69","50","21.3","4.18","not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,"rc: divide SCR difference scores by individual max US response","yes","ref (Lykken & Venables, 1971; Dawson et al., 2000)","not reported","mixed","2","ANOVA","rmANOVA","11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shechner T and Fox NA and Mash JA and Jarcho JM and Chen G and Leibenluft E and Pine DS and Britton JC","2018","10.1017/S0954579417000554","Differences in neural response to extinction recall in young adults with or without history of behavioral inhibition.","Development and psychopathology","https://pubmed.ncbi.nlm.nih.gov/28534459/","Female;Humans;Child;Male;Adult;Young Adult;Magnetic Resonance Imaging;Functional Neuroimaging;Conditioning, Classical/*physiology;Extinction, Psychological/*physiology;Fear/physiology;*Inhibition, Psychological;Mental Recall/*physiology;Temperament/physiology;Brain/diagnostic imaging/*physiology","no","no","no","no","CD","67","32","20.49","1.65","yes","individual","Behavioral Inhibition composite scores during childhood","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,"not reported","no","not reported","not reported","mixed","3","ANOVA","rmANOVA","11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Staib M and Bach DR","2018","10.1016/j.neuroimage.2017.11.009","Stimulus-invariant auditory cortex threat encoding during fear conditioning with simple and complex sounds.","NeuroImage","https://pubmed.ncbi.nlm.nih.gov/29122722/","Female;Humans;Male;Adolescent;Adult;Young Adult;Auditory Cortex;Conditioning, Classical/*physiology;Fear/*physiology;Magnetic Resonance Imaging/*methods;Auditory Perception/*physiology;Brain Mapping/*methods;Auditory Cortex/diagnostic imaging/*physiology","no","no","no","no","CD","38","21","23.75",NA,"yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"z",NA,NA,NA,"z: trial-wise SCR centred on mean and dividey by sd","no","not reported","trial-level","within","2","Linear Mixed Model","SCR ∼CS∗context∗complexity+(1∣subject)","11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stout DM and Acheson DT and Moore TM and Gur RC and Baker DG and Geyer MA and Risbrough VB","2018","10.1016/j.brat.2018.01.002","Individual variation in working memory is associated with fear extinction performance.","Behaviour research and therapy","https://pubmed.ncbi.nlm.nih.gov/29331727/","Humans;Male;Young Adult;Inhibition, Psychological;Memory, Short-Term;Anticipation, Psychological;Extinction, Psychological/*physiology;*Individuality;Reflex, Startle/physiology;Anxiety/psychology;Conditioning, Psychological/physiology;Fear/physiology/*psychology;Memory, Short-Term/*physiology","no","no","no","no","CD",NA,"0",NA,NA,"yes","individual","WM (Short Letter-N-Back); Short Penn Continuous Performance Test-Number and Letter Version (sPCPT-nl)","not reported",NA,NA,"not reported",NA,"not reported","Greenhouse-Geisser","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,"raw",NA,NA,NA,NA,"not reported","no","not reported","not reported","mixed","2","ANOVA","other","11","CONTACTED AUTHORS FOR SAMPLE SIZE! mixed ANOVA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stout DM and Glenn DE and Acheson DT and Spadoni AD and Risbrough VB and Simmons AN","2018","10.1016/j.nlm.2018.03.012","Neural measures associated with configural threat acquisition.","Neurobiology of learning and memory","https://pubmed.ncbi.nlm.nih.gov/29544725/","Female;Humans;Male;Adult;Young Adult;Magnetic Resonance Imaging;Image Processing, Computer-Assisted;Middle Aged;Fear/*physiology;Galvanic Skin Response/physiology;Association Learning/*physiology;Amygdala/diagnostic imaging/*physiology;Hippocampus/diagnostic imaging/*physiology","no","no","no","no","CD","25","10","34.57","10.13","not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"yes","trials","winsorizing of SCR scores +/- 3SD",NA,NA,NA,NA,"other","other",NA,NA,"SCL: mean value smoothing, SCR: ""standardized within subject and across trials and conditions""","no","not reported","not reported","within","not reported","not reported",NA,"11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tzovara A and Korn CW and Bach DR","2018","10.1371/journal.pcbi.1006243","Human Pavlovian fear conditioning conforms to probabilistic learning.","PLoS computational biology","https://pubmed.ncbi.nlm.nih.gov/30169519/","Humans;Models, Theoretical;Cues;Conditioning, Classical/*physiology;Learning/*physiology;Humanism;Humanities;Fear/physiology;Machine Learning;Autonomic Nervous System/physiology;*Probability Learning","yes","no","no","no","CD","79","57","25.1",NA,"not reported","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"yes","trials","gaze position more +/- 5 degrees visual angle from fixation",NA,NA,NA,NA,"not reported",NA,NA,"not reported","SCR: Dynamic causal modeling (DCM); pupil: single-trial general linear convolution models (GLMs)","no","not reported","not reported","within","40","Linear Mixed Model","ANS~1 + CS*Trial, random =~ 1|Participant","11","Trials N = 40; Exp. 2 using Trace Conditioning, excluded from participants demogtraphics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seligowski AV and Bondy E and Singleton P and Orcutt HK and Ressler KJ and Auerbach RP","2018","10.1016/j.psychres.2018.06.023","Testing neurophysiological markers related to fear-potentiated startle.","Psychiatry research","https://pubmed.ncbi.nlm.nih.gov/29913378/","Female;Humans;Male;Adolescent;Fear;Adult;Young Adult;Learning/*physiology;Neurophysiology;Conditioning, Classical/physiology;Reflex, Startle/*physiology;Students/psychology;Electromyography/methods;Fear/*physiology/*psychology;Electroencephalography/methods","no","no","no","no","CD","83",NA,NA,NA,"no","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,NA,NA,NA,NA,"within","3","ANOVA","ANOVA_univariat","11","FPS as a diff score ([startle magnitude in the presence of a CS in each conditioning block] – [startle magnitude to NA])",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thompson A and McEvoy PM and Lipp OV","2018","10.1016/j.brat.2018.07.001","Enhancing extinction learning: Occasional presentations of the unconditioned stimulus during extinction eliminate spontaneous recovery, but not necessarily reacquisition of fear.","Behaviour research and therapy","https://pubmed.ncbi.nlm.nih.gov/29981936/","Female;Humans;Male;Adolescent;Adult;Young Adult;Conditioning, Classical/*physiology;Galvanic Skin Response/physiology;Extinction, Psychological/*physiology;Fear/*physiology/*psychology","no","no","no","no","LD","72","44","21.61","3.95","partially","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,"rc: each response divided by max SCR reponse of each participant","yes","ref (Lykken, 1972; Dawson et al., 2007)","trial-level","mixed","3","ANOVA","rmANOVA","11","2x acquisition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toumbelekis M and Liddell BJ and Bryant RA","2018","10.1093/scan/nsy065","Thinking of attachment figures blocks differential fear conditioning.","Social cognitive and affective neuroscience","https://pubmed.ncbi.nlm.nih.gov/30137625/","Female;Humans;Male;Social Support;Extinction, Psychological;Young Adult;Reflex, Startle;Self Report;Fear/*psychology;Thinking;Conditioning, Psychological/*physiology;*Object Attachment","no","no","no","no","CD","71","51","20.22","3.76","yes","both","Experiences in Close Relationships (ECR-R)","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,NA,NA,NA,NA,"mixed","2","ANOVA","rmANOVA","11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taylor VA and Roy M and Chang L and Gill LN and Mueller C and Rainville P","2018","10.1097/PSY.0000000000000634","Reduced Fear-Conditioned Pain Modulation in Experienced Meditators: A Preliminary Study.","Psychosomatic medicine","https://pubmed.ncbi.nlm.nih.gov/30134359/","Female;Humans;Male;Adult;Aged;Middle Aged;Conditioning, Classical/*physiology;Fear/physiology;Galvanic Skin Response/*physiology;Reflex/*physiology;Pain/*physiopathology;Pain Perception/*physiology;Anticipation, Psychological/*physiology;*Mindfulness;*Meditation;Nociception/physiology","no","no","no","no","CD","62","31",NA,NA,"yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"not reported",NA,NA,NA,NA,NA,NA,NA,"mixed","2","Multilevel regression","other","11","see Suppl. Materials for exclusion criteria, main SCR analyses etc. / Biceps femoris EMG to acquire nociceptive flexion reflex was recorded, but I decided not to included it here as startle EMG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Struyf D and Hermans D and Vervliet B","2018","10.1016/j.brat.2018.09.005","Maximizing the generalization of fear extinction: Exposures to a peak generalization stimulus.","Behaviour research and therapy","https://pubmed.ncbi.nlm.nih.gov/30253271/","Female;Humans;Male;Young Adult;Conditioning, Classical/*physiology;Fear/*physiology;Galvanic Skin Response/physiology;Extinction, Psychological/*physiology;Generalization, Psychological/*physiology","no","no","no","no","CD","84","69","22.61","6.1","yes","group",NA,"dependent variable","not reported","not reported","not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,"SCR: rc by dividing each individual response by max response of participant during entire experiment; sqrt","no","not reported","trial-level","mixed","2","Linear Mixed Model","SCR ∼ Stimulus*Block*Condition","11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shi L and Chen SJ and Deng JH and Que JY and Lin X and Sun Y and Bao YP and Shi J and Lu L","2018","10.1016/j.nlm.2018.11.004","ADRB2 gene polymorphism modulates the retention of fear extinction memory.","Neurobiology of learning and memory","https://pubmed.ncbi.nlm.nih.gov/30423370/","Humans;Male;Adolescent;Adult;Young Adult;Polymorphism, Genetic;Memory;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Retention, Psychology/*physiology;Receptors, Adrenergic, beta-2/genetics/*physiology","no","no","no","no","CD","91","0","23.96","0.32","yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,"sqrt","no","not reported","not reported","mixed","2","ANOVA","rmANOVA","11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sperl MFJ and Panitz C and Rosso IM and Dillon DG and Kumar P and Hermann A and Whitton AE and Hermann C and Pizzagalli DA and Mueller EM","2019","10.1093/cercor/bhx353","Fear Extinction Recall Modulates Human Frontomedial Theta and Amygdala Activity.","Cerebral cortex (New York, N.Y. : 1991)","https://pubmed.ncbi.nlm.nih.gov/29373635/","Female;Humans;Male;Adult;Amygdala;Young Adult;Random Allocation;Extinction, Psychological/*physiology;Humanism;Humanities;Magnetic Resonance Imaging/methods;Photic Stimulation/methods;Fear/*physiology/psychology;Mental Recall/*physiology;Electroencephalography/methods;Prefrontal Cortex/diagnostic imaging/*physiology;Amygdala/diagnostic imaging/*physiology;Theta Rhythm/*physiology","no","no","no","no","CD","21",NA,NA,NA,"yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"rc",NA,NA,NA,"SCR: individual SCRs were normalized by dividing the raw SCR value of each CS by an individual’s maximum SCR value across all CS (separately for experimental phases)","yes","ref (Lykken & Venables, 1971)","trial-level","within","2","ANOVA","rmANOVA","11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tuominen L and Boeke E and DeCross S and Wolthusen RP and Nasr S and Milad M and Vangel M and Tootell R and Holt D","2019","10.1016/j.neuroimage.2018.12.034","The relationship of perceptual discrimination to neural mechanisms of fear generalization.","NeuroImage","https://pubmed.ncbi.nlm.nih.gov/30572112/","Female;Humans;Male;Adult;Young Adult;Magnetic Resonance Imaging;Conditioning, Classical/*physiology;Fear/*physiology;Discrimination (Psychology);Galvanic Skin Response/*physiology;*Brain Mapping;Discrimination, Psychological/*physiology;Facial Recognition/physiology;Cerebral Cortex/diagnostic imaging/*physiology;Generalization, Response/*physiology","no","no","no","no","CD","38","17","28.51","5.81","yes","both","sex","dependent variable","one-sample Kolmogorov-Smirnov test","before","not reported",NA,"yes","Mauchly's test","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,"sqrt","yes","ref/standard procedures","trial-level","within","2","t-test","ttest","11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Traxler J and Schrooten MGS and Dibbets P and Vancleef LMG","2019","10.1515/sjpain-2018-0112","Interpretation bias in the face of pain: a discriminatory fear conditioning approach.","Scandinavian journal of pain","https://pubmed.ncbi.nlm.nih.gov/30379643/","Female;Humans;Male;Surveys and Questionnaires;Adult;Young Adult;Reflex, Startle;Bias (Epidemiology);*Fear;Anxiety/*psychology;*Conditioning, Classical;Netherlands;*Bias;Facial Pain;*Chronic Pain;Electric Stimulation Therapy","no","no","no","no","CD","36","29","22.36","4.63","yes","group",NA,"dependent variable","not reported","not reported","not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,"z",NA,NA,NA,NA,"starle EMG: startle response amplitudes were standardized as z-scores per person across all trials","yes","ref","trial-level","within","2","ANOVA","rmANOVA","11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Starita F and Kroes MCW and Davachi L and Phelps EA and Dunsmoor JE","2019","10.1037/xge0000551","Threat learning promotes generalization of episodic memory.","Journal of experimental psychology. General","https://pubmed.ncbi.nlm.nih.gov/30667260/","Female;Humans;Male;Adolescent;Adult;Young Adult;Memory;Conditioning, Classical/*physiology;Fear/*physiology;Generalization, Psychological/*physiology;*Memory, Episodic","yes","no","no","no","CD","30",NA,NA,NA,"unclear","both","STAI, IUS","dependent variable","not reported","after","yes","not reported","not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,"sqrt(SCR)","no","not reported","trial-level","within","2","t-test","ttest","11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scheveneels S and Boddez Y and Vervliet B and Hermans D","2019","10.1016/j.beth.2019.03.001","Modeling Hierarchical Versus Random Exposure Schedules in Pavlovian Fear Extinction: No Evidence for Differential Fear Outcomes.","Behavior therapy","https://pubmed.ncbi.nlm.nih.gov/31422851/","Female;Humans;Galvanic Skin Response;Male;Adult;Conditioning, Classical/*physiology;Fear/*physiology;Attention/*physiology;Extinction, Psychological/*physiology;Implosive Therapy;Generalization, Psychological/physiology;Generalization, Stimulus/*physiology","no","no","no","no","CD","64","53","22.31","6.04","yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported","Greenhouse-Geisser","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,"SCR amplitudes were range-corrected with each participant's largest unconditioned response measured during US present trials; then sqrt","yes","ref (Lykken & Venables, 1971; Dawson et al., 2000)","not reported","mixed","2","ANOVA","rmANOVA","11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schipper P and Hiemstra M and Bosch K and Nieuwenhuis D and Adinolfi A and Glotzbach S and Borghans B and Lopresto D and Fernández G and Klumpers F and Hermans EJ and Roelofs K and Henckens MJAG and Homberg JR","2019","10.1073/pnas.1904843116","The association between serotonin transporter availability and the neural correlates of fear bradycardia.","Proceedings of the National Academy of Sciences of the United States of America","https://pubmed.ncbi.nlm.nih.gov/31772023/","Humans;Male;Animals;Adult;Magnetic Resonance Imaging;Rats;Genotype;Bradycardia;Fear/*physiology;Rats, Transgenic;Serotonin Plasma Membrane Transport Proteins;Stress, Psychological/*metabolism;*Serotonin Plasma Membrane Transport Proteins/genetics/metabolism;Bradycardia/*metabolism;Brain/diagnostic imaging/metabolism/physiology;Freezing Reaction, Cataleptic/*physiology","yes","no","no","no","CD","104","0","21.9","2.5","yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,"not reported",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mixed","2","t-test","ttest","11","only Exp. 1 with humans; see Suppl. Information for descriptives and HR methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Staib M and Abivardi A and Bach DR","2020","10.1002/hbm.24846","Primary auditory cortex representation of fear-conditioned musical sounds.","Human brain mapping","https://pubmed.ncbi.nlm.nih.gov/31663229/","Female;Humans;Male;Adult;Young Adult;Magnetic Resonance Imaging;Auditory Cortex;Conditioning, Classical/*physiology;Fear/*physiology;*Brain Mapping;Auditory Perception/*physiology;Auditory Cortex/*physiology;*Music;Music","no","no","no","no","CD","42","25","23.55",NA,"unclear","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"z",NA,NA,NA,"SCR: estimated sympathetic arousal for each participant was z-scored across all trials","yes","ref (Staib et al., 2015; Staib & Bach, 2018)","trial-level","within","2","ANOVA","rmANOVA","11","two participant samples (beh + fMRI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sjouwerman R and Lonsdorf TB","2020","10.1111/psyp.13549","Experimental boundary conditions of reinstatement-induced return of fear in humans: Is reinstatement in humans what we think it is?","Psychophysiology","https://pubmed.ncbi.nlm.nih.gov/32072648/","Female;Humans;Male;Adolescent;Adult;Young Adult;Electric Stimulation;Conditioning, Classical/*physiology;Fear/*physiology;Humanism;Humanities;Extinction, Psychological/physiology;Habituation, Psychophysiologic/physiology;Galvanic Skin Response/*physiology;Reflex, Startle/*physiology;Visual Perception/physiology;Auditory Perception/*physiology","yes","no","no","no","CD","189","134","25","4","yes","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,"z, t","log, rc",NA,NA,NA,"SCR: log-transformed and range corrected for the max SCR toward any stimuli; startle EMG: T-transformed values obtained from raw startle responses using the formula T=(Zx10)+50, where Z refers to z-scores as defined by the formula Z=(X-mu)/sigma, where X is the raw amplitude of startle response per trial, mu is the mean raw amplitude over all trials per subject, and sigma is the SD of all raw amplitudes per subject ","yes","ref (SCR: Lykken, 1972)","trial-level","within","2 (SCR), 3 (startle EMG)","ANOVA","rmANOVA","11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
